<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.11.24	01:00:00	4072.10	4072.48	4066.18	4067.38	1587	0	7
2025.11.24	01:05:00	4067.44	4075.95	4067.28	4072.28	1406	0	7
2025.11.24	01:10:00	4072.25	4077.75	4070.66	4074.97	1421	0	7
2025.11.24	01:15:00	4074.66	4077.51	4073.22	4073.50	1298	0	7
2025.11.24	01:20:00	4073.50	4075.04	4070.83	4071.00	1358	0	7
2025.11.24	01:25:00	4071.16	4072.67	4069.25	4070.79	1447	0	7
2025.11.24	01:30:00	4070.79	4070.79	4066.19	4067.41	1557	0	7
2025.11.24	01:35:00	4067.43	4069.82	4065.88	4067.48	1541	0	7
2025.11.24	01:40:00	4067.48	4072.21	4067.48	4070.35	1675	0	7
2025.11.24	01:45:00	4069.96	4075.04	4069.28	4074.67	1489	0	7
2025.11.24	01:50:00	4074.67	4076.77	4073.24	4076.06	1346	0	7
2025.11.24	01:55:00	4076.07	4076.76	4074.07	4075.15	1025	0	7
2025.11.24	02:00:00	4075.15	4076.14	4069.71	4069.71	1300	0	7
2025.11.24	02:05:00	4069.70	4069.71	4060.67	4060.81	1856	0	7
2025.11.24	02:10:00	4060.80	4063.49	4058.38	4062.14	1806	0	7
2025.11.24	02:15:00	4062.14	4064.08	4059.07	4062.05	1356	0	7
2025.11.24	02:20:00	4062.08	4064.11	4060.61	4062.98	1182	0	7
2025.11.24	02:25:00	4062.98	4064.69	4062.01	4062.88	1024	0	7
2025.11.24	02:30:00	4062.87	4065.87	4062.18	4065.70	1357	0	7
2025.11.24	02:35:00	4065.69	4066.00	4061.97	4065.10	1546	0	7
2025.11.24	02:40:00	4065.10	4066.36	4063.08	4065.93	1702	0	7
2025.11.24	02:45:00	4065.97	4066.26	4063.93	4065.26	1557	0	7
2025.11.24	02:50:00	4065.26	4065.26	4064.12	4064.53	1292	0	7
2025.11.24	02:55:00	4064.53	4068.00	4064.19	4067.51	1496	0	7
2025.11.24	03:00:00	4067.52	4073.20	4058.53	4063.12	3346	0	7
2025.11.24	03:05:00	4063.09	4063.41	4055.25	4056.50	2938	0	7
2025.11.24	03:10:00	4056.48	4058.06	4051.54	4054.83	2851	0	7
2025.11.24	03:15:00	4054.82	4056.15	4052.84	4053.76	2428	0	7
2025.11.24	03:20:00	4053.77	4055.78	4050.16	4055.50	2458	0	7
2025.11.24	03:25:00	4055.50	4056.10	4051.82	4055.36	2417	0	7
2025.11.24	03:30:00	4055.38	4056.25	4050.57	4054.79	2653	0	7
2025.11.24	03:35:00	4054.81	4056.52	4052.76	4054.95	2174	0	7
2025.11.24	03:40:00	4054.94	4055.62	4051.69	4052.30	2109	0	7
2025.11.24	03:45:00	4052.30	4054.29	4051.13	4053.16	1901	0	7
2025.11.24	03:50:00	4053.16	4053.85	4049.51	4049.64	2308	0	7
2025.11.24	03:55:00	4049.66	4050.10	4042.75	4044.30	2709	0	7
2025.11.24	04:00:00	4044.28	4048.03	4043.51	4046.11	2495	0	7
2025.11.24	04:05:00	4046.11	4048.28	4045.66	4047.83	1851	0	7
2025.11.24	04:10:00	4047.83	4048.46	4044.54	4046.36	1795	0	7
2025.11.24	04:15:00	4046.36	4048.44	4045.96	4047.88	1783	0	7
2025.11.24	04:20:00	4047.85	4048.35	4046.94	4047.62	1411	0	7
2025.11.24	04:25:00	4047.62	4048.75	4047.21	4048.04	1565	0	7
2025.11.24	04:30:00	4048.04	4050.02	4045.23	4049.77	2176	0	7
2025.11.24	04:35:00	4049.77	4051.60	4048.51	4049.82	2040	0	7
2025.11.24	04:40:00	4049.82	4050.27	4046.54	4047.49	2298	0	7
2025.11.24	04:45:00	4047.50	4048.15	4043.62	4044.13	2296	0	7
2025.11.24	04:50:00	4044.12	4044.84	4041.10	4041.22	2007	0	7
2025.11.24	04:55:00	4041.20	4043.84	4040.75	4043.66	1914	0	7
2025.11.24	05:00:00	4043.66	4048.52	4043.66	4048.44	2190	0	7
2025.11.24	05:05:00	4048.44	4050.16	4047.43	4049.05	2242	0	7
2025.11.24	05:10:00	4049.08	4050.89	4046.67	4046.82	1855	0	7
2025.11.24	05:15:00	4046.83	4047.49	4045.00	4046.64	1793	0	7
2025.11.24	05:20:00	4046.64	4047.40	4044.83	4046.06	1832	0	7
2025.11.24	05:25:00	4046.06	4049.53	4044.67	4048.97	1731	0	7
2025.11.24	05:30:00	4048.98	4053.49	4048.94	4053.41	2118	0	7
2025.11.24	05:35:00	4053.41	4058.16	4052.67	4057.09	1800	0	7
2025.11.24	05:40:00	4057.04	4057.04	4053.21	4056.17	1624	0	7
2025.11.24	05:45:00	4056.17	4056.46	4049.18	4050.21	1675	0	7
2025.11.24	05:50:00	4050.21	4052.00	4048.79	4049.34	1875	0	7
2025.11.24	05:55:00	4049.34	4050.79	4048.41	4050.29	1653	0	7
2025.11.24	06:00:00	4050.43	4053.07	4049.49	4053.03	1591	0	7
2025.11.24	06:05:00	4053.02	4057.89	4052.94	4056.65	1795	0	7
2025.11.24	06:10:00	4056.65	4061.20	4056.47	4059.17	1688	0	7
2025.11.24	06:15:00	4059.20	4060.65	4054.13	4054.35	2114	0	7
2025.11.24	06:20:00	4054.35	4055.16	4048.58	4050.84	2179	0	7
2025.11.24	06:25:00	4050.84	4052.54	4049.68	4051.10	1580	0	7
2025.11.24	06:30:00	4051.12	4052.50	4045.87	4048.76	1778	0	7
2025.11.24	06:35:00	4048.78	4049.53	4045.80	4047.00	2317	0	7
